,close,high,open,low
20230425,31126.698253488248,31642.89557112487,31558.42691914797,30948.375543759234
20230426,31098.542036162617,31225.24501412797,31126.698253488248,31028.15149284853
20230427,31179.391587258313,31198.415011045538,31022.448341013725,30798.923111513857
20230428,31374.38168107735,31502.789791641102,31345.846545396515,31127.07717184345
20230502,31569.371774896383,31559.860063002772,31379.137537024155,31336.334833502904
20230503,31293.53212998165,31436.20780838582,31417.1843845986,31245.973570513594
20230504,31226.950146726373,31264.99699430082,31241.21771456679,31089.030324269006
20230508,31555.104207055967,31664.4888938325,31483.76636785388,31483.76636785388
20230509,31464.742944066656,31536.080783268742,31521.813215428327,31383.89339297096
20230510,31307.79969782207,31450.47537622624,31393.40510486457,31174.635731311508
20230511,31222.194290779567,31507.545647587907,31388.649248917765,31222.194290779567
20230512,31050.98347669456,31203.170866992343,31127.07717184345,30984.40149343928
20230515,31150.85645157748,31150.85645157748,30946.354645864834,30870.260950715943
20230516,31217.43843483276,31459.98708811985,31331.5789775561,31165.124019417897
20230517,31336.334833502904,31421.940240545406,31198.415011045538,31165.124019417897
20230518,31640.70961409847,31650.22132599208,31502.789791641102,31431.451952439016
20230519,32068.736649310984,32092.515929045014,31892.769979279172,31878.502411438756
20230522,32287.506022864047,32406.40242153419,32068.736649310984,32002.154666055703
20230523,32358.843862066133,32487.25197262989,32325.552870438492,32306.52944665127
20230524,32258.97088718321,32382.623141800163,32197.14475987474,32168.609624193905
20230525,32201.900615821545,32444.449269108638,32325.552870438492,32140.07448851307
20230526,32325.552870438492,32425.425845321413,32258.97088718321,32230.43575150238
20230530,32767.847473491427,32782.11504133184,32549.07809993836,32549.07809993836
20230531,32587.124947512806,32839.18531269351,32739.312337810592,32530.05467615114
20230601,32434.937557215024,32577.613235619196,32434.937557215024,32354.088006119327
20230602,32843.94116864032,32829.6736007999,32625.171795087255,32625.171795087255
20230605,32924.79071973601,33072.22225408699,32943.81414352324,32901.01144000199
20230607,32862.96459242754,33115.02495760824,33053.19883029977,32853.45288053393
20230608,32843.94116864032,32834.42945674671,32753.579905651008,32663.2186426617
20230609,33257.700636012414,33300.503339533665,32996.1285589381,32886.74387216157
20230612,33034.17540651254,33376.597034682556,33305.259195480474,32958.08171136365
20230613,33205.38622059755,33314.770907374084,33252.944780065605,33115.02495760824
20230614,33034.17540651254,33224.409644384774,33157.82766112949,32986.61684704449
20230615,32934.30243162963,33229.16550033158,33143.560093289074,32886.74387216157
20230616,33086.48982192741,33100.75738976782,33100.75738976782,32910.5231518956
20230619,32910.5231518956,33019.90783867213,32991.37270299129,32810.65017701268
20230620,32820.16188890629,32886.74387216157,32796.38260917226,32710.777202129757
20230621,32525.298820204334,32820.16188890629,32820.16188890629,32525.298820204334
20230622,32629.92765103406,32720.288914023367,32525.298820204334,32482.496116683084
20230623,32453.96098100225,32801.13846511907,32796.38260917226,32425.425845321413
20230626,32625.171795087255,32658.462786714892,32392.134853693773,32392.134853693773
20230627,32591.880803459615,32629.92765103406,32596.63665940642,32453.96098100225
20230628,32444.449269108638,32696.50963428934,32696.50963428934,32382.623141800163
20230629,32434.937557215024,32725.044769970173,32520.54296425753,32439.69341316183
20230630,32587.124947512806,32615.66008319364,32434.937557215024,32216.16818366196
20230703,33010.39612677852,33043.68711840616,32725.044769970173,32720.288914023367
20230704,32877.23216026796,33053.19883029977,33053.19883029977,32877.23216026796
20230705,32577.613235619196,32962.83756731046,32877.23216026796,32596.63665940642
20230706,32344.576294225717,32577.613235619196,32511.031252363915,32301.773590704466
20230707,31873.74655549195,32163.8537682471,32163.8537682471,31778.629436555835
20230710,31821.432140077086,32078.248361204594,31959.351962534452,31778.629436555835
20230711,32411.158277480998,32382.623141800163,31964.107818481258,31959.351962534452
20230712,32610.904227246836,32615.66008319364,32411.158277480998,32325.552870438492
20230713,32858.20873648074,32991.37270299129,32796.38260917226,32758.335761597813
20230714,33386.10874657617,33376.597034682556,33005.64027083171,33005.64027083171
20230717,33267.212347906025,33381.352890629365,33219.65378843797,33181.60694086352
20230718,33034.17540651254,33357.573610895335,33357.573610895335,32991.37270299129
20230719,32986.61684704449,33252.944780065605,33252.944780065605,32886.74387216157
20230720,32872.47630432115,33015.15198272532,32820.16188890629,32767.847473491427
20230721,32924.79071973601,32929.54657568282,32706.02134618295,32458.716836949054
20230724,33148.31594923588,33252.944780065605,32943.81414352324,32777.35918538504
20230725,33195.87450870394,33290.991627640055,33172.09522896991,32977.10513515088
20230726,32772.60332943823,33219.65378843797,33195.87450870394,32658.462786714892
20230727,33176.851084916714,33205.38622059755,32881.98801621476,32815.40603295948
20230728,33086.25606183344,33143.47397114919,33043.34262984663,32833.543629022206
20230731,33324.66401731574,33372.3456084122,33253.14163067105,33162.54660758778
20230801,33801.479928280336,33787.1754509514,33420.02719950866,33396.18640396043
20230802,33048.11078895627,33663.2033141006,33663.2033141006,33005.19735696946
20230803,32847.84810635114,33129.169493820256,33048.11078895627,32695.26701484247
20230804,32828.77546991256,32933.67497032477,32885.99337922831,32738.180446829287
20230807,32757.253083267868,33276.98242621928,32719.107810390702,32661.88990107495
20230808,32466.395377579465,32919.37049299583,32895.5296974476,32409.17746826371
20230809,32847.84810635114,32909.83417477654,32542.6859233338,32542.6859233338
20230810,32690.498855732825,32723.875969500346,32709.57149217141,32604.671991759198
20230811,32638.04910552672,32990.89287964052,32804.934674364325,32609.440150868842
20230814,32342.42324072867,32638.04910552672,32552.222241553092,32237.523740316457
20230816,31851.302852435132,32094.478967027077,32094.478967027077,31813.157579557967
20230817,31746.40335202292,31746.40335202292,31679.649124487878,31345.87798681266
20230818,31608.126737843188,31760.70782935186,31403.095896128412,31341.109827703014
20230821,31589.054101404603,31851.302852435132,31698.721760926463,31574.749624075666
20230822,31717.794397365047,31946.66603462805,31875.143647983365,31598.590419623895
20230823,31655.80832893965,31746.40335202292,31660.576488049293,31527.068032979205
20230824,32084.942648807784,32108.783444356017,31980.043148395573,31956.202352847344
20230825,31736.867033803628,31865.607329764072,31603.358578733543,31603.358578733543
20230828,31970.506830176284,31994.347625724513,31932.361557299115,31832.230215996547
20230829,32108.783444356017,32161.233194562123,32065.870012369203,31999.115784834157
20230830,32223.21926298752,32442.554582031233,32437.78642292159,32242.2918994261
20230831,32261.364535864686,32313.814286070792,32280.43717230327,32084.942648807784
20230901,32528.381446004863,32599.90383264955,32213.68294476823,32132.624239904246
20230904,32747.716765048575,32752.484924158223,32614.20830997849,32495.00433223734
20230905,32728.644128609994,32804.934674364325,32757.253083267868,32647.58542374601
20230906,32499.772491346986,32742.94860593893,32709.57149217141,32461.627218469817
20230907,32337.65508161902,32490.236173127694,32471.16353668911,32251.828217645394
20230908,32375.80035449619,32366.264036276898,32337.65508161902,32127.8560807946
20230911,32471.16353668911,32561.758559772385,32375.80035449619,32280.43717230327
20230912,32289.973490522563,32704.80333306176,32566.52671888203,32275.669013193627
20230913,32323.350604290084,32471.16353668911,32337.65508161902,32218.451103877873
20230914,32771.557560596804,32714.339651281054,32423.48194559265,32423.48194559265
